,station_id,stationname,date,daytype,rides
132,41400,Roosevelt,06/30/2018,A,9438
133,41400,Roosevelt,05/11/2018,W,11649
134,41400,Roosevelt,05/04/2018,W,11591
135,41400,Roosevelt,05/01/2018,W,11410
136,41400,Roosevelt,04/03/2018,W,10186
137,41400,Roosevelt,06/10/2018,U,6602
138,41400,Roosevelt,04/06/2018,W,11000
139,41400,Roosevelt,06/01/2018,W,14299
140,41400,Roosevelt,06/03/2018,U,6745
141,41400,Roosevelt,05/09/2018,W,10748
142,41400,Roosevelt,05/16/2018,W,10238
143,41400,Roosevelt,06/02/2018,A,11898
144,41400,Roosevelt,05/12/2018,A,7499
145,41400,Roosevelt,04/10/2018,W,10429
146,41400,Roosevelt,06/04/2018,W,10163
147,41400,Roosevelt,06/29/2018,W,11878
148,41400,Roosevelt,04/11/2018,W,10643
149,41400,Roosevelt,05/22/2018,W,10622
150,41400,Roosevelt,04/20/2018,W,11018
151,41400,Roosevelt,05/26/2018,A,8913
152,41400,Roosevelt,06/24/2018,U,9819
153,41400,Roosevelt,05/07/2018,W,10519
154,41400,Roosevelt,04/08/2018,U,5529
155,41400,Roosevelt,04/25/2018,W,10491
156,41400,Roosevelt,04/17/2018,W,10743
157,41400,Roosevelt,06/28/2018,W,10892
158,41400,Roosevelt,04/27/2018,W,11199
159,41400,Roosevelt,06/26/2018,W,10582
160,41400,Roosevelt,04/23/2018,W,9829
161,41400,Roosevelt,05/31/2018,W,11086
162,41400,Roosevelt,05/27/2018,U,7397
163,41400,Roosevelt,04/12/2018,W,10974
164,41400,Roosevelt,06/05/2018,W,11228
165,41400,Roosevelt,05/10/2018,W,11301
166,41400,Roosevelt,05/18/2018,W,10947
167,41400,Roosevelt,06/25/2018,W,10366
168,41400,Roosevelt,04/29/2018,U,6472
169,41400,Roosevelt,04/15/2018,U,5109
170,41400,Roosevelt,05/24/2018,W,11250
171,41400,Roosevelt,06/12/2018,W,10754
172,41400,Roosevelt,06/21/2018,W,10222
173,41400,Roosevelt,06/18/2018,W,10816
174,41400,Roosevelt,06/23/2018,A,10237
175,41400,Roosevelt,04/13/2018,W,10679
176,41400,Roosevelt,04/02/2018,W,9678
177,41400,Roosevelt,05/06/2018,U,6547
178,41400,Roosevelt,04/28/2018,A,8183
179,41400,Roosevelt,06/08/2018,W,11004
180,41400,Roosevelt,05/08/2018,W,11182
181,41400,Roosevelt,06/17/2018,U,6567
182,41400,Roosevelt,05/25/2018,W,10822
183,41400,Roosevelt,05/21/2018,W,9093
184,41400,Roosevelt,05/15/2018,W,10057
185,41400,Roosevelt,05/19/2018,A,8035
186,41400,Roosevelt,05/23/2018,W,10620
187,41400,Roosevelt,04/30/2018,W,10569
188,41400,Roosevelt,06/16/2018,A,8475
189,41400,Roosevelt,04/01/2018,U,4834
190,41400,Roosevelt,05/13/2018,U,5588
191,41400,Roosevelt,04/22/2018,U,5905
192,41400,Roosevelt,06/14/2018,W,11125
193,41400,Roosevelt,04/24/2018,W,10425
194,41400,Roosevelt,05/05/2018,A,9618
195,41400,Roosevelt,05/03/2018,W,10938
196,41400,Roosevelt,04/04/2018,W,10357
197,41400,Roosevelt,06/15/2018,W,11664
198,41400,Roosevelt,04/18/2018,W,10274
199,41400,Roosevelt,05/02/2018,W,10958
200,41400,Roosevelt,04/09/2018,W,9880
201,41400,Roosevelt,05/28/2018,U,5958
202,41400,Roosevelt,06/22/2018,W,11850
203,41400,Roosevelt,04/16/2018,W,9908
204,41400,Roosevelt,04/05/2018,W,10691
205,41400,Roosevelt,06/06/2018,W,10849
206,41400,Roosevelt,06/07/2018,W,11395
207,41400,Roosevelt,06/20/2018,W,11343
208,41400,Roosevelt,06/27/2018,W,10998
209,41400,Roosevelt,04/19/2018,W,10740
210,41400,Roosevelt,06/19/2018,W,11682
211,41400,Roosevelt,04/21/2018,A,7774
212,41400,Roosevelt,07/01/2018,U,6730
213,41400,Roosevelt,07/02/2018,W,10753
214,41400,Roosevelt,07/03/2018,W,10896
215,41400,Roosevelt,07/04/2018,U,8264
216,41400,Roosevelt,07/05/2018,W,9890
217,41400,Roosevelt,07/06/2018,W,10920
218,41400,Roosevelt,07/07/2018,A,8503
219,41400,Roosevelt,07/08/2018,U,6820
220,41400,Roosevelt,07/09/2018,W,10791
221,41400,Roosevelt,07/10/2018,W,11296
222,41400,Roosevelt,07/11/2018,W,11809
223,41400,Roosevelt,07/12/2018,W,11729
224,41400,Roosevelt,07/13/2018,W,12575
225,41400,Roosevelt,07/14/2018,A,8781
226,41400,Roosevelt,07/15/2018,U,7653
227,41400,Roosevelt,07/16/2018,W,10747
228,41400,Roosevelt,07/17/2018,W,10961
229,41400,Roosevelt,07/18/2018,W,11240
230,41400,Roosevelt,07/19/2018,W,11313
231,41400,Roosevelt,07/20/2018,W,14023
232,41400,Roosevelt,07/21/2018,A,9298
233,41400,Roosevelt,07/22/2018,U,7491
234,41400,Roosevelt,07/23/2018,W,10533
235,41400,Roosevelt,07/24/2018,W,11495
236,41400,Roosevelt,07/25/2018,W,11116
237,41400,Roosevelt,07/26/2018,W,11515
238,41400,Roosevelt,07/27/2018,W,11509
239,41400,Roosevelt,07/28/2018,A,9977
240,41400,Roosevelt,07/29/2018,U,7586
241,41400,Roosevelt,07/30/2018,W,10450
242,41400,Roosevelt,07/31/2018,W,11669
243,41400,Roosevelt,08/01/2018,W,11779
244,41400,Roosevelt,08/02/2018,W,14192
245,41400,Roosevelt,08/03/2018,W,14707
246,41400,Roosevelt,08/04/2018,A,10859
247,41400,Roosevelt,08/05/2018,U,8679
248,41400,Roosevelt,08/06/2018,W,10328
249,41400,Roosevelt,08/07/2018,W,10337
250,41400,Roosevelt,08/08/2018,W,10627
251,41400,Roosevelt,08/09/2018,W,10843
252,41400,Roosevelt,08/10/2018,W,11785
253,41400,Roosevelt,08/11/2018,A,11536
254,41400,Roosevelt,08/12/2018,U,9901
255,41400,Roosevelt,08/13/2018,W,9919
256,41400,Roosevelt,08/14/2018,W,10619
257,41400,Roosevelt,08/15/2018,W,10450
258,41400,Roosevelt,08/16/2018,W,10534
259,41400,Roosevelt,08/17/2018,W,10677
260,41400,Roosevelt,08/18/2018,A,8205
261,41400,Roosevelt,08/19/2018,U,6771
262,41400,Roosevelt,08/20/2018,W,9696
263,41400,Roosevelt,08/21/2018,W,10471
264,41400,Roosevelt,08/22/2018,W,10667
265,41400,Roosevelt,08/23/2018,W,11094
266,41400,Roosevelt,08/24/2018,W,10862
267,41400,Roosevelt,08/25/2018,A,11201
268,41400,Roosevelt,08/26/2018,U,6568
269,41400,Roosevelt,08/27/2018,W,10067
270,41400,Roosevelt,08/28/2018,W,10382
271,41400,Roosevelt,08/29/2018,W,11108
272,41400,Roosevelt,08/30/2018,W,14000
273,41400,Roosevelt,08/31/2018,W,11236
274,41400,Roosevelt,09/01/2018,A,7654
275,41400,Roosevelt,09/02/2018,U,7046
276,41400,Roosevelt,09/03/2018,U,5814
277,41400,Roosevelt,09/04/2018,W,10854
278,41400,Roosevelt,09/05/2018,W,11090
279,41400,Roosevelt,09/06/2018,W,11928
280,41400,Roosevelt,09/07/2018,W,11874
281,41400,Roosevelt,09/08/2018,A,8614
282,41400,Roosevelt,09/09/2018,U,6694
283,41400,Roosevelt,09/10/2018,W,11278
284,41400,Roosevelt,09/11/2018,W,11470
285,41400,Roosevelt,09/12/2018,W,12255
286,41400,Roosevelt,09/13/2018,W,11745
287,41400,Roosevelt,09/14/2018,W,12282
288,41400,Roosevelt,09/15/2018,A,10832
289,41400,Roosevelt,09/16/2018,U,7234
290,41400,Roosevelt,09/17/2018,W,14536
291,41400,Roosevelt,09/18/2018,W,11715
292,41400,Roosevelt,09/19/2018,W,11437
293,41400,Roosevelt,09/20/2018,W,11832
294,41400,Roosevelt,09/21/2018,W,12639
295,41400,Roosevelt,09/22/2018,A,10725
296,41400,Roosevelt,09/23/2018,U,7047
297,41400,Roosevelt,09/24/2018,W,11459
298,41400,Roosevelt,09/25/2018,W,11423
299,41400,Roosevelt,09/26/2018,W,11795
300,41400,Roosevelt,09/27/2018,W,11962
301,41400,Roosevelt,09/28/2018,W,11988
302,41400,Roosevelt,09/29/2018,A,8906
303,41400,Roosevelt,09/30/2018,U,10779
304,41400,Roosevelt,10/01/2018,W,11559
305,41400,Roosevelt,10/02/2018,W,11725
306,41400,Roosevelt,10/03/2018,W,11805
307,41400,Roosevelt,10/04/2018,W,15830
308,41400,Roosevelt,10/05/2018,W,12963
309,41400,Roosevelt,10/06/2018,A,10153
310,41400,Roosevelt,10/07/2018,U,12925
311,41400,Roosevelt,10/08/2018,W,11364
312,41400,Roosevelt,10/09/2018,W,11686
313,41400,Roosevelt,10/10/2018,W,11471
314,41400,Roosevelt,10/11/2018,W,11765
315,41400,Roosevelt,10/12/2018,W,11652
316,41400,Roosevelt,10/13/2018,A,8641
317,41400,Roosevelt,10/14/2018,U,6282
318,41400,Roosevelt,10/15/2018,W,10923
319,41400,Roosevelt,10/16/2018,W,11493
320,41400,Roosevelt,10/17/2018,W,11249
321,41400,Roosevelt,10/18/2018,W,11680
322,41400,Roosevelt,10/19/2018,W,11959
323,41400,Roosevelt,10/20/2018,A,8909
324,41400,Roosevelt,10/21/2018,U,10132
325,41400,Roosevelt,10/22/2018,W,10963
326,41400,Roosevelt,10/23/2018,W,11511
327,41400,Roosevelt,10/24/2018,W,11236
328,41400,Roosevelt,10/25/2018,W,11162
329,41400,Roosevelt,10/26/2018,W,11596
330,41400,Roosevelt,10/27/2018,A,8245
331,41400,Roosevelt,10/28/2018,U,9769
332,41400,Roosevelt,10/29/2018,W,10774
333,41400,Roosevelt,10/30/2018,W,11171
334,41400,Roosevelt,10/31/2018,W,10919
335,41400,Roosevelt,11/01/2018,W,11378
336,41400,Roosevelt,11/02/2018,W,11685
337,41400,Roosevelt,11/03/2018,A,10038
338,41400,Roosevelt,11/04/2018,U,6610
339,41400,Roosevelt,11/05/2018,W,10936
340,41400,Roosevelt,11/06/2018,W,10935
341,41400,Roosevelt,11/07/2018,W,10905
342,41400,Roosevelt,11/08/2018,W,11160
343,41400,Roosevelt,11/09/2018,W,11062
344,41400,Roosevelt,11/10/2018,A,7925
345,41400,Roosevelt,11/11/2018,U,10072
346,41400,Roosevelt,11/12/2018,W,9693
347,41400,Roosevelt,11/13/2018,W,10889
348,41400,Roosevelt,11/14/2018,W,10910
349,41400,Roosevelt,11/15/2018,W,11089
350,41400,Roosevelt,11/16/2018,W,11561
351,41400,Roosevelt,11/17/2018,A,8221
352,41400,Roosevelt,11/18/2018,U,9107
353,41400,Roosevelt,11/19/2018,W,10980
354,41400,Roosevelt,11/20/2018,W,11288
355,41400,Roosevelt,11/21/2018,W,9754
356,41400,Roosevelt,11/22/2018,U,4113
357,41400,Roosevelt,11/23/2018,W,7116
358,41400,Roosevelt,11/24/2018,A,6573
359,41400,Roosevelt,11/25/2018,U,4605
360,41400,Roosevelt,11/26/2018,W,9443
361,41400,Roosevelt,11/27/2018,W,10630
362,41400,Roosevelt,11/28/2018,W,10633
363,41400,Roosevelt,11/29/2018,W,10738
364,41400,Roosevelt,11/30/2018,W,11174
365,41400,Roosevelt,12/01/2018,A,6905
366,41400,Roosevelt,12/02/2018,U,5490
367,41400,Roosevelt,12/03/2018,W,10431
368,41400,Roosevelt,12/04/2018,W,10771
369,41400,Roosevelt,12/05/2018,W,10593
370,41400,Roosevelt,12/06/2018,W,10917
371,41400,Roosevelt,12/07/2018,W,11055
372,41400,Roosevelt,12/08/2018,A,7194
373,41400,Roosevelt,12/09/2018,U,8384
374,41400,Roosevelt,12/10/2018,W,10486
375,41400,Roosevelt,12/11/2018,W,10538
376,41400,Roosevelt,12/12/2018,W,10249
377,41400,Roosevelt,12/13/2018,W,10681
378,41400,Roosevelt,12/14/2018,W,10580
379,41400,Roosevelt,12/15/2018,A,7453
380,41400,Roosevelt,12/16/2018,U,9252
381,41400,Roosevelt,12/17/2018,W,9706
382,41400,Roosevelt,12/18/2018,W,9844
383,41400,Roosevelt,12/19/2018,W,9794
384,41400,Roosevelt,12/20/2018,W,9722
385,41400,Roosevelt,12/21/2018,W,9706
386,41400,Roosevelt,12/22/2018,A,6434
387,41400,Roosevelt,12/23/2018,U,5163
388,41400,Roosevelt,12/24/2018,W,5340
389,41400,Roosevelt,12/25/2018,U,2348
390,41400,Roosevelt,12/26/2018,W,6653
391,41400,Roosevelt,12/27/2018,W,7340
392,41400,Roosevelt,12/28/2018,W,8281
393,41400,Roosevelt,12/29/2018,A,5841
394,41400,Roosevelt,12/30/2018,U,5176
395,41400,Roosevelt,12/31/2018,W,6523
396,41400,Roosevelt,01/01/2019,U,4453
397,41400,Roosevelt,01/02/2019,W,8052
398,41400,Roosevelt,01/03/2019,W,8679
399,41400,Roosevelt,01/04/2019,W,9297
400,41400,Roosevelt,01/05/2019,A,6615
401,41400,Roosevelt,01/06/2019,U,8462
402,41400,Roosevelt,01/07/2019,W,8948
403,41400,Roosevelt,01/08/2019,W,9330
404,41400,Roosevelt,01/09/2019,W,8809
405,41400,Roosevelt,01/10/2019,W,9155
406,41400,Roosevelt,01/11/2019,W,9624
407,41400,Roosevelt,01/12/2019,A,5938
408,41400,Roosevelt,01/13/2019,U,4724
409,41400,Roosevelt,01/14/2019,W,8906
410,41400,Roosevelt,01/15/2019,W,9330
411,41400,Roosevelt,01/16/2019,W,9399
412,41400,Roosevelt,01/17/2019,W,9677
413,41400,Roosevelt,01/18/2019,W,10047
414,41400,Roosevelt,01/19/2019,A,6037
415,41400,Roosevelt,01/20/2019,U,4749
416,41400,Roosevelt,01/21/2019,W,7000
417,41400,Roosevelt,01/22/2019,W,9564
418,41400,Roosevelt,01/23/2019,W,9679
419,41400,Roosevelt,01/24/2019,W,9428
420,41400,Roosevelt,01/25/2019,W,8145
421,41400,Roosevelt,01/26/2019,A,5692
422,41400,Roosevelt,01/27/2019,U,4011
423,41400,Roosevelt,01/28/2019,W,9435
424,41400,Roosevelt,01/29/2019,W,7767
425,41400,Roosevelt,01/30/2019,W,1620
426,41400,Roosevelt,01/31/2019,W,3499
427,41400,Roosevelt,02/01/2019,W,9573
428,41400,Roosevelt,02/02/2019,A,6801
429,41400,Roosevelt,02/03/2019,U,5068
430,41400,Roosevelt,02/04/2019,W,10069
431,41400,Roosevelt,02/05/2019,W,10071
432,41400,Roosevelt,02/06/2019,W,9965
433,41400,Roosevelt,02/07/2019,W,10271
434,41400,Roosevelt,02/08/2019,W,9515
435,41400,Roosevelt,02/09/2019,A,6670
436,41400,Roosevelt,02/10/2019,U,4909
